algorithm_id,algorithm_name,seed,tp,tn,fp,fn,accuracy,balanced_accuracy,specificity,fpr,fnr,precision,recall,f1,roc_auc,pr_auc
proposed_causal_ft,Proposed Causal FT,42,3539,13361,5046,2054,70.42,67.93,72.59,27.41,36.72,41.22,63.28,49.92,0.7094,0.378
proposed_causal_ft,Proposed Causal FT,43,3539,13361,5046,2054,70.42,67.93,72.59,27.41,36.72,41.22,63.28,49.92,0.7094,0.378
proposed_causal_ft,Proposed Causal FT,44,3539,13361,5046,2054,70.42,67.93,72.59,27.41,36.72,41.22,63.28,49.92,0.7094,0.378
paper1_ipft,"IPFT (Theodoropoulos et al., 2022)",42,5593,0,18407,0,23.3,50.0,0.0,100.0,0.0,23.3,100.0,37.8,0.6073,0.2937
paper1_ipft,"IPFT (Theodoropoulos et al., 2022)",43,5593,0,18407,0,23.3,50.0,0.0,100.0,0.0,23.3,100.0,37.8,0.4722,0.2504
paper1_ipft,"IPFT (Theodoropoulos et al., 2022)",44,5593,0,18407,0,23.3,50.0,0.0,100.0,0.0,23.3,100.0,37.8,0.4359,0.1946
paper2_bwoaif,"BWOAIF (Hannák et al., 2023)",42,4449,5752,12655,1144,42.5,55.4,31.25,68.75,20.45,26.01,79.55,39.2,0.5872,0.2844
paper2_bwoaif,"BWOAIF (Hannák et al., 2023)",43,4449,5752,12655,1144,42.5,55.4,31.25,68.75,20.45,26.01,79.55,39.2,0.5872,0.2844
paper2_bwoaif,"BWOAIF (Hannák et al., 2023)",44,4449,5752,12655,1144,42.5,55.4,31.25,68.75,20.45,26.01,79.55,39.2,0.5872,0.2844
paper4_pregan,"PreGAN (Tuli et al., 2022)",42,5593,0,18407,0,23.3,50.0,0.0,100.0,0.0,23.3,100.0,37.8,0.4835,0.2535
paper4_pregan,"PreGAN (Tuli et al., 2022)",43,0,18406,1,5593,76.69,50.0,99.99,0.01,100.0,0.0,0.0,0.0,0.4901,0.2539
paper4_pregan,"PreGAN (Tuli et al., 2022)",44,5593,0,18407,0,23.3,50.0,0.0,100.0,0.0,23.3,100.0,37.8,0.4318,0.2245
